year,month,code,destination,net_mass,fob_etb,fob_usd
2016,01,12074090,Turkey,1121000.00,22402142.44,1031306.48
2016,01,09011100,France,378030.00,22161128.19,1020211.13
2016,01,12074090,Singapore,1139900.00,22023831.19,1013890.52
2016,01,06021000,Germany,58082.00,21843806.39,1005602.88
2016,01,07133300,Kenya,2473414.00,20382591.76,938334.31
2016,01,41131000,China,79917.25,18939801.50,871913.93
2016,01,06021000,United States,36617.00,18633172.58,857797.94
2016,01,12074090,Greece,760000.00,18569297.83,854857.40
2016,01,09011100,United Kingdom,192000.00,18494999.82,851437.01
2016,01,09011100,Sudan,461100.00,17780599.55,818548.83
2016,01,07139000,India,720000.00,17608457.64,810624.09
2016,01,09011100,Saudi Arabia,360000.00,16893993.60,777732.98
2016,01,12074090,China,874000.00,16631640.50,765655.28
2016,01,09011100,United Kingdom,153600.00,16398243.28,754910.59
2016,01,07133900,Indonesia,620000.00,16190256.10,745335.68
2016,01,09011100,Australia,192000.00,16046950.38,738738.45
2016,01,64051000,China,19322.63,16023444.74,737656.34
2016,01,09011100,Italy,211200.00,15760585.26,725555.32
2016,01,06031100,Saudi Arabia,186938.34,15425087.23,710110.31
2016,01,12019000,India,1650000.00,14999934.56,690537.96
2016,01,07133900,India,600000.00,14539820.40,669356.11
2016,01,01061300,Egypt,333900.00,14357198.47,660948.92
2016,01,12074090,United States,706000.00,13509342.08,621916.95
2016,01,07133300,India,1440000.00,13200105.60,607680.91
2016,01,61152900,Germany,39707.75,12984476.11,597754.18
2016,01,07132000,Pakistan,744000.00,12669568.94,583257.09
2016,01,52052200,Turkey,246484.95,12478201.39,574447.29
2016,01,12074090,Canada,607960.00,12457492.26,573493.92
2016,01,62063000,Germany,44325.00,12150544.12,559363.23
2016,01,06021000,Belgium,30621.82,12060745.35,555229.25
2016,01,01041000,Saudi Arabia,222987.00,11933901.95,549389.88
2016,01,41120000,Thailand,8360.00,11682440.29,537813.58
2016,01,09011100,Sweden,115200.00,11222345.20,516632.61
2016,01,25232900,Djibouti,4920000.00,11221977.55,516615.68
2016,01,07133300,Russian Federation,792520.00,10849900.95,499486.74
2016,01,09011100,Jordan,108000.00,10714129.56,493236.36
2016,01,41120000,Hong Kong,16153.95,10489808.61,482909.51
2016,01,30023000,Niger,14017.00,9968555.54,458913.07
2016,01,12079990,United Kingdom,467000.00,9676203.95,445454.35
2016,01,06031100,Norway,115190.96,9657016.53,444571.04
2016,01,09011100,United States,172800.00,9553886.85,439823.35
2016,01,01022910,Djibouti,228835.00,9029686.15,415691.22
2016,01,07020000,Somalia,1163624.00,8855557.10,407675.00
2016,01,06021000,Netherlands,41198.00,8809521.82,405555.72
2016,01,74082900,Turkey,100200.00,8694964.32,400281.94
2016,01,41120000,Italy,10866.00,8377828.92,385682.27
2016,01,64051000,Kenya,49200.00,8279974.58,381177.45
2016,01,12074090,Japan,380000.00,8231185.13,378931.37
2016,01,12074010,China,380000.00,8193315.28,377187.99
2016,01,19059020,United States,156863.04,8177243.85,376448.13
2016,01,09011100,Canada,57600.00,8086330.83,372262.85
2016,01,06021000,Canada,15696.00,7995313.82,368072.78
2016,01,12019000,South Africa,924000.00,7811741.86,359621.85
2016,01,41120000,United Kingdom,12589.23,7691268.39,354075.73
2016,01,71031000,India,457.54,7076610.92,325779.32
2016,01,06021000,France,18988.00,6778315.96,312046.99
2016,01,85171200,Nigeria,7591.59,6731524.99,309892.92
2016,01,41131000,China,21412.57,6608929.78,304249.12
2016,01,06031100,United Kingdom,76620.36,6386859.05,294025.86
2016,01,09011100,"Korea, Republic of",54000.00,6167814.34,283941.90
2016,01,12079910,United States,306000.00,6097234.21,280692.67
2016,01,63041900,Italy,66105.00,6050968.66,278562.78
2016,01,19059020,United Arab Emirates,164100.00,5850560.11,269336.76
2016,01,09011100,Viet Nam,115200.00,5839992.55,268850.27
2016,01,85171200,Kenya,3252.82,5772822.59,265758.03
2016,01,07133100,Indonesia,235000.00,5709484.23,262842.19
2016,01,09011100,Greece,96000.00,5635034.53,259414.81
2016,01,54071000,Kenya,47316.00,5476946.27,252137.05
2016,01,07132000,United Arab Emirates,311986.00,5439669.70,250420.99
2016,01,01022910,Somalia,133120.00,5422843.20,249646.36
2016,01,06031100,United Arab Emirates,64533.12,5317671.80,244804.68
2016,01,09011100,Saudi Arabia,108000.00,5223957.48,240490.44
2016,01,01061300,Egypt,120000.00,5202250.80,239491.15
2016,01,13019000,Iraq,47000.00,5195845.15,239196.26
2016,01,04090000,Norway,62640.00,5146656.78,236931.82
2016,01,13019000,China,80000.00,5053525.12,232644.41
2016,01,71031000,United States,371.45,5016995.78,230962.74
2016,01,85171200,Rwanda,5581.39,4987112.42,229587.03
2016,01,12079990,India,231000.00,4931477.91,227025.84
2016,01,09011100,Israel,76800.00,4904521.66,225784.88
2016,01,07133300,Portugal,441000.00,4884278.67,224852.97
2016,01,07133900,Pakistan,504000.00,4801547.73,221044.36
2016,01,02042100,Saudi Arabia,39685.65,4719791.43,217280.62
2016,01,41139000,China,13508.00,4681685.32,215526.37
2016,01,07133300,United Kingdom,320000.00,4681476.32,215516.75
2016,01,62034200,United States,16245.65,4627017.71,213009.69
2016,01,61091000,Italy,17091.60,4533736.07,208715.37
2016,01,09011100,New Zealand,37200.00,4514057.11,207809.42
2016,01,12074090,Turkey,190000.00,4456026.30,205137.91
2016,01,07129010,Viet Nam,5950.00,4436662.12,204246.46
2016,01,07132000,Jordan,240000.00,4426177.32,203763.79
2016,01,07133300,Germany,408000.00,4350042.30,200258.83
2016,01,09011100,France,76800.00,4331853.25,199421.48
2016,01,41120000,Philippines,4720.00,4276646.36,196879.97
2016,01,41120000,Italy,11539.00,4252444.64,195765.82
2016,01,07020000,Djibouti,903640.50,4225614.18,194530.65
2016,01,62042900,United States,3797.40,4161819.07,191593.77
2016,01,25231000,Djibouti,2504860.00,4159978.31,191509.03
2016,01,61051000,Germany,12719.00,4141780.77,190671.29
2016,01,09024000,Pakistan,89650.00,4117826.65,189568.53
2016,01,61059000,Germany,21531.00,4074007.04,187551.25
2016,01,07011000,Djibouti,853972.00,4005366.56,184391.31
2016,01,07031000,Djibouti,1240595.00,3953479.10,182002.62
2016,01,09011100,Greece,76800.00,3823562.92,176021.79
2016,01,12019000,Turkey,440000.00,3818097.03,175770.16
2016,01,12019000,China,190000.00,3807877.02,175299.67
2016,01,07082000,Netherlands,205100.00,3803931.02,175118.01
2016,01,12079990,Israel,190000.00,3770937.03,173599.10
2016,01,10089090,China,190000.00,3764505.15,173303.00
2016,01,07133300,Yemen,312000.00,3737390.05,172054.73
2016,01,62063000,Japan,11294.00,3728583.03,171649.29
2016,01,12011000,Viet Nam,440000.00,3707213.24,170665.51
2016,01,61112000,United States,31661.78,3658171.64,168407.83
2016,01,10089090,Turkey,190000.00,3649293.90,167999.13
2016,01,09011100,Finland,38400.00,3623670.40,166819.52
2016,01,61091000,United States,13115.13,3595994.92,165545.45
2016,01,61083200,Germany,10183.00,3563304.17,164040.50
2016,01,07133300,Saudi Arabia,258000.00,3554699.98,163644.40
2016,01,41120000,China,10544.10,3353189.47,154367.65
2016,01,41139000,China,13401.40,3329465.42,153275.49
2016,01,06031900,Japan,25982.08,3295918.79,151731.13
2016,01,22087000,South Sudan,100327.00,3247981.91,149524.31
2016,01,12079910,United States,148000.00,3201135.00,147367.66
2016,01,62029300,Germany,1183.52,3145892.36,144824.50
2016,01,12074090,Mexico,133000.00,3113893.09,143351.38
2016,01,07133300,Italy,214000.00,3082025.83,141884.34
2016,01,06021000,Spain,8010.00,3069977.49,141329.68
2016,01,64059000,Kenya,10800.00,3063826.97,141046.54
2016,01,12011000,Kenya,410000.00,3050167.42,140417.70
2016,01,52051200,China,72891.00,3036273.22,139778.07
2016,01,06031900,Netherlands,25891.88,2882368.89,132692.92
2016,01,62046300,Germany,2088.44,2849895.40,131197.97
2016,01,12074090,Australia,76000.00,2827650.47,130173.90
2016,01,44072900,Sudan,1330350.00,2761915.37,127147.71
2016,01,41120000,China,7554.80,2761493.66,127128.30
2016,01,09041200,Saudi Arabia,29600.00,2734033.34,125864.14
2016,01,01022910,Djibouti,70590.00,2720133.54,125224.24
2016,01,12101000,Sudan,84840.00,2714524.01,124966.00
2016,01,07133300,United Arab Emirates,187000.00,2682558.53,123494.44
2016,01,12079990,Italy,112400.00,2675834.18,123184.88
2016,01,64039900,United States,4207.00,2656167.09,122279.48
2016,01,07135000,Djibouti,159653.00,2644761.12,121754.39
2016,01,07129090,Djibouti,3320.50,2477463.55,114052.67
2016,01,52093900,Turkey,16901.00,2466159.34,113532.27
2016,01,09011100,United Arab Emirates,55200.00,2466027.67,113526.21
2016,01,25232100,Kenya,1160000.00,2464128.60,113438.78
2016,01,09011100,Russian Federation,18000.00,2457777.63,113146.41
2016,01,09041200,South Africa,26400.00,2441854.01,112413.35
2016,01,07133300,South Africa,240000.00,2432862.60,111999.42
2016,01,41131000,Hong Kong,5047.14,2412056.28,111041.58
2016,01,05100090,"Korea, Republic of",150.00,2402673.74,110609.64
2016,01,41131000,Italy,14241.00,2392434.12,110138.25
2016,01,41120000,Indonesia,2931.00,2381846.88,109650.86
2016,01,09041200,Sudan,27822.00,2361125.72,108696.94
2016,01,07051100,Somalia,549478.00,2350022.96,108185.81
2016,01,20089900,United Arab Emirates,2080.59,2287727.45,105317.97
2016,01,08039000,Somalia,444186.00,2273417.61,104659.20
2016,01,09011100,Singapore,24000.00,2249347.93,103551.13
2016,01,12074090,United Arab Emirates,114000.00,2234415.96,102863.72
2016,01,09103000,United Arab Emirates,125000.00,2231237.32,102717.39
2016,01,12074090,Palestine,114000.00,2185841.70,100627.55
2016,01,12074090,Viet Nam,114000.00,2183769.18,100532.14
2016,01,58021100,Turkey,19492.10,2178154.16,100273.65
2016,01,02042100,United Arab Emirates,18980.75,2176669.62,100205.30
2016,01,64032000,United States,5980.00,2162200.57,99539.21
2016,01,12019000,Turkey,220000.00,2159699.08,99424.05
2016,01,26159000,China,2000.00,2159529.42,99416.24
2016,01,41120000,India,11254.00,2132070.00,98152.11
2016,01,09011100,"Taiwan, Province of China",38400.00,2128076.84,97968.28
2016,01,62104000,Italy,3991.68,2118370.29,97521.43
2016,01,01041000,Djibouti,39088.00,2087015.81,96077.99
2016,01,12074090,Netherlands,57000.00,2070004.12,95294.84
2016,01,25232100,Kenya,1200000.00,2045232.00,94154.43
2016,01,09011100,Kuwait,38400.00,2007751.87,92428.99
2016,01,62019900,Germany,756.96,2007277.81,92407.17
2016,01,06021000,Italy,4968.00,1997338.06,91949.58
2016,01,06031900,United States,21962.99,1986608.14,91455.62
2016,01,41120000,India,2674.00,1974490.54,90897.77
2016,01,12011000,India,220000.00,1966669.32,90537.72
2016,01,09011100,Spain,19200.00,1875444.24,86338.07
2016,01,63041900,Norway,17094.60,1868854.56,86034.71
2016,01,07129090,Russian Federation,26697.00,1849676.68,85151.84
2016,01,12119000,Netherlands,22768.00,1840747.51,84740.77
2016,01,41120000,Viet Nam,1868.00,1834612.00,84458.32
2016,01,07129090,United States,2372.37,1770101.56,81488.51
2016,01,09011100,Ireland,19200.00,1762819.73,81153.28
2016,01,12092900,Egypt,240000.00,1741417.43,80168.01
2016,01,73072900,Singapore,25127.63,1739305.13,80070.76
2016,01,12079990,Germany,74000.00,1714904.76,78947.47
2016,01,13019000,United Arab Emirates,15000.00,1713095.70,78864.18
2016,01,25232900,Somalia,1120000.00,1704133.66,78451.61
2016,01,07133300,Belgium,144000.00,1693490.90,77961.66
2016,01,61059000,United States,19140.25,1688436.25,77728.96
2016,01,13019000,China,28000.00,1674396.64,77082.63
2016,01,09041200,Djibouti,38294.00,1669626.72,76863.04
2016,01,64059000,China,3508.00,1628082.34,74950.50
2016,01,39159000,China,231000.00,1573335.45,72430.17
2016,01,15219020,Italy,8801.00,1564148.08,72007.22
2016,01,12079990,Netherlands,78000.00,1563233.72,71965.13
2016,01,33059000,Sudan,25900.00,1554538.05,71564.81
2016,01,30023000,Senegal,2322.00,1552891.92,71489.03
2016,01,52053200,Turkey,33696.40,1536928.35,70754.13
2016,01,07061000,Somalia,356798.00,1526642.84,70280.63
2016,01,07133300,France,144000.00,1523023.18,70113.99
2016,01,12119000,United Kingdom,18104.00,1520621.92,70003.45
2016,01,09101100,Kenya,40000.00,1515203.90,69754.02
2016,01,07132000,Sudan,101000.00,1506416.97,69349.51
2016,01,07133100,Belgium,144000.00,1471170.81,67726.91
2016,01,19059020,Sweden,40928.00,1467839.10,67573.54
2016,01,07133300,Hungary,140000.00,1463985.74,67396.14
2016,01,07133300,Romania,120000.00,1431662.39,65908.10
2016,01,13019000,Germany,15000.00,1407646.46,64802.50
2016,01,07133300,Sri Lanka,120000.00,1406097.00,64731.17
2016,01,07129090,China,1883.02,1404375.84,64651.94
2016,01,09041200,United States,8115.00,1398420.54,64377.78
2016,01,41120000,Hungary,987.00,1392105.12,64087.04
2016,01,54076900,"Iran, Islamic Republic of",20902.00,1384709.10,63746.56
2016,01,61119000,United States,12577.33,1383139.47,63674.30
2016,01,13019000,Greece,15998.00,1351621.51,62223.34
2016,01,13019000,Algeria,11800.00,1338416.86,61615.45
2016,01,61082100,Germany,3926.00,1307929.56,60211.93
2016,01,07133300,Netherlands,114770.00,1299496.66,59823.71
2016,01,12119000,Belgium,11016.00,1296536.01,59687.42
2016,01,39269090,Italy,119450.70,1269037.06,58421.47
2016,01,68041000,Denmark,60453.00,1252921.90,57679.59
2016,01,06031100,South Africa,15090.24,1243980.59,57267.97
2016,01,71179010,United States,206.54,1243911.27,57264.78
2016,01,61034900,United States,3433.55,1233788.49,56798.77
2016,01,64039900,United States,3000.00,1229356.07,56594.72
2016,01,61109000,United States,3331.58,1225316.80,56408.76
2016,01,58021100,United States,7992.50,1224826.32,56386.18
2016,01,07019000,Djibouti,570725.00,1217129.47,56031.85
2016,01,07129090,United Kingdom,18771.00,1209048.60,55659.84
2016,01,61091000,Germany,4162.70,1197605.47,55133.04
2016,01,05069000,United States,87.00,1193434.74,54941.04
2016,01,09041200,Sweden,8295.00,1157603.20,53291.50
2016,01,13012000,Germany,20000.00,1153283.40,53092.63
2016,01,09093100,Indonesia,15000.00,1134464.62,52226.29
2016,01,85171200,Togo,1250.29,1115827.44,51368.30
2016,01,09011100,Lebanon,19200.00,1115499.02,51353.19
2016,01,55093100,Kenya,11900.00,1114445.94,51304.71
2016,01,41071900,India,5711.08,1107055.53,50964.48
2016,01,07133300,Puerto Rico,80000.00,1106129.64,50921.86
2016,01,06031100,Italy,13259.84,1088485.66,50109.60
2016,01,40040000,China,168000.00,1073746.80,49431.08
2016,01,85444200,Somalia,12345.00,1073047.98,49398.91
2016,01,02061000,Viet Nam,27960.00,1064661.08,49012.81
2016,01,05040000,Viet Nam,29000.00,1064484.09,49004.66
2016,01,09011100,Albania,19200.00,1055889.33,48608.99
2016,01,61071900,United States,18328.80,1051559.86,48409.68
2016,01,41131000,Hong Kong,3308.00,1045198.76,48116.84
2016,01,64051000,Canada,2009.75,1027771.09,47314.54
2016,01,08051000,Djibouti,58040.00,1027438.24,47299.21
2016,01,07133300,Bulgaria,96000.00,1021646.40,47032.58
2016,01,40170000,Sudan,124200.00,1018584.56,46891.62
2016,01,12119000,Germany,19457.00,1014670.83,46711.45
2016,01,19041000,United States,7832.00,1010604.14,46524.24
2016,01,06031100,United States,12056.04,1000809.32,46073.32
2016,01,09011100,South Africa,19200.00,993656.84,45744.05
2016,01,26179000,China,22985.00,980112.56,45120.53
2016,01,19059020,Norway,17565.00,979318.22,45083.96
2016,01,12019000,Sri Lanka,110000.00,976559.58,44956.96
2016,01,61178000,Sudan,2280.00,973397.95,44811.41
2016,01,85481000,Somalia,453380.00,966883.39,44511.51
2016,01,09011100,Ukraine,18000.00,954421.00,43937.79
2016,01,12074090,Lebanon,38000.00,940706.87,43306.44
2016,01,01042000,Saudi Arabia,15750.00,938764.89,43217.04
2016,01,42022110,United States,719.69,935448.77,43064.38
2016,01,07129090,Hong Kong,1247.81,930142.98,42820.12
2016,01,02045000,Bahrain,6916.00,929384.10,42785.19
2016,01,07129090,Germany,16526.82,921378.83,42416.66
2016,01,07133300,Greece,72000.00,905191.63,41671.46
2016,01,07129090,Netherlands,20123.83,905142.66,41669.21
2016,01,13019000,United States,10000.00,901269.62,41490.91
2016,01,06031100,France,10778.67,887754.69,40868.73
2016,01,06021000,United Kingdom,2550.00,873581.52,40216.26
2016,01,12079990,Belgium,39000.00,873082.66,40193.29
2016,01,61152100,France,3789.50,853666.33,39299.44
2016,01,08031000,Djibouti,286500.00,829589.06,38191.02
2016,01,19059020,Bahrain,24138.00,819594.10,37730.89
2016,01,08051000,Djibouti,117859.00,819169.59,37711.34
2016,01,61152900,United Kingdom,2224.00,797640.48,36720.23
2016,01,22011000,United States,45225.00,789102.47,36327.17
2016,01,61099000,Germany,7974.34,777869.00,35810.03
2016,01,01022910,Oman,13200.00,768272.40,35368.24
2016,01,52051100,China,18198.00,765072.54,35220.93
2016,01,61099000,United States,5589.92,750847.29,34566.05
2016,01,41071900,Hong Kong,3551.00,744772.15,34286.38
2016,01,06031100,Japan,8551.08,742644.26,34188.42
2016,01,06031900,United Arab Emirates,7059.91,727818.08,33505.88
2016,01,09109900,India,19500.00,694308.59,31963.24
2016,01,25151100,China,103188.00,688572.09,31699.15
2016,01,07102900,United Kingdom,10691.00,684554.17,31514.18
2016,01,06031100,Oman,8088.96,666518.40,30683.88
2016,01,61109000,United States,10833.94,664810.32,30605.25
2016,01,19059020,Canada,12816.00,664324.49,30582.89
2016,01,02042100,Bahrain,4940.00,663337.56,30537.45
2016,01,06031900,Japan,4732.64,643614.69,29629.49
2016,01,25232900,Djibouti,280000.00,639746.15,29451.40
2016,01,20089900,Qatar,1489.66,633476.91,29162.78
2016,01,20089900,Kenya,3541.40,629362.10,28973.35
2016,01,07082000,Sudan,42000.00,626352.30,28834.79
2016,01,08039000,Djibouti,153366.00,624608.39,28754.51
2016,01,22030000,South Sudan,33866.00,623394.79,28698.64
2016,01,07129090,Ghana,833.48,620937.08,28585.50
2016,01,07049000,Djibouti,190380.00,620091.76,28546.58
2016,01,07129090,India,817.80,610425.34,28101.58
2016,01,63051000,United States,502.00,610018.13,28082.83
2016,01,09083100,Israel,8000.00,596979.60,27482.59
2016,01,07051100,Djibouti,167525.50,596872.92,27477.68
2016,01,08101000,Netherlands,12000.00,584745.64,26919.39
2016,01,02062900,Viet Nam,27397.76,584139.42,26891.48
2016,01,12092900,Jordan,22000.00,578843.26,26647.67
2016,01,96020090,Congo,1076.00,573893.17,26419.78
2016,01,06031900,Germany,6822.24,562393.91,25890.40
2016,01,19059020,United Kingdom,9470.00,556926.40,25638.70
2016,01,09109900,Sudan,17260.00,554758.04,25538.88
2016,01,07129090,Cameroon,740.68,552095.40,25416.30
2016,01,10082100,Canada,42000.00,550905.96,25361.54
2016,01,41139000,Hong Kong,1618.00,543688.49,25029.28
2016,01,41079900,Zimbabwe,1080.00,537812.01,24758.75
2016,01,64059000,Canada,1182.00,536989.84,24720.90
2016,01,06031100,Jordan,6501.44,536248.65,24686.78
2016,01,64059000,Italy,3735.50,525113.57,24174.16
2016,01,07129090,Zambia,698.01,520979.07,23983.83
2016,01,09041200,Norway,2157.00,519326.85,23907.76
2016,01,25232100,Somalia,315000.00,517413.54,23819.68
2016,01,42022900,United States,395.39,516006.70,23754.92
2016,01,22030000,Israel,17600.00,515568.90,23734.76
2016,01,07069010,Djibouti,161485.00,514894.55,23703.72
2016,01,07133300,Slovenia,48000.00,510823.20,23516.29
2016,01,71031000,Thailand,12.69,503506.03,23179.44
2016,01,06021000,Switzerland,2144.00,503273.78,23168.74
2016,01,09041200,Germany,3570.00,502820.48,23147.88
2016,01,07133300,Spain,48000.00,500606.73,23045.96
2016,01,07129090,Viet Nam,662.52,494402.49,22760.34
2016,01,07102900,Belgium,7401.50,486643.27,22403.14
2016,01,61044200,Sudan,455.00,485566.22,22353.56
2016,01,09041200,Canada,4748.00,483017.32,22236.22
2016,01,49019900,Kenya,658.00,481580.98,22170.09
2016,01,64051000,Canada,1300.00,472424.07,21748.55
2016,01,62063000,United States,1341.10,472272.41,21741.56
2016,01,11029000,Sudan,12320.00,462865.99,21308.53
2016,01,07129090,Namibia,610.86,455081.40,20950.16
2016,01,07129090,Rwanda,597.82,447262.50,20590.21
2016,01,12079990,Spain,19000.00,446024.81,20533.23
2016,01,07099900,Djibouti,100246.00,439134.20,20216.01
2016,01,61082100,United States,14054.55,425127.80,19571.21
2016,01,09103000,Yemen,29000.00,424621.78,19547.92
2016,01,19059020,Kuwait,11036.00,421561.44,19407.03
2016,01,61051000,United States,8035.10,411833.57,18959.20
2016,01,41132000,India,948.00,411445.59,18941.34
2016,01,64039900,Canada,493.00,406856.21,18730.06
2016,01,06031900,Australia,2750.88,400301.02,18428.28
2016,01,85045000,Canada,220.00,395939.27,18227.49
2016,01,06021000,Japan,2214.00,384792.28,17714.32
2016,01,07081000,Netherlands,11080.00,384665.32,17708.48
2016,01,06021000,Norway,1229.00,382483.30,17608.03
2016,01,08045000,Djibouti,107833.00,382104.74,17590.60
2016,01,07032000,Sudan,17880.00,381455.29,17560.70
2016,01,09103000,Iraq,22250.00,377780.40,17391.52
2016,01,07031000,Somalia,70977.00,377373.91,17372.81
2016,01,62034900,Germany,341.85,369097.43,16991.79
2016,01,22043000,Saudi Arabia,4200.00,367158.85,16902.55
2016,01,62069000,United Kingdom,2862.75,366624.57,16877.95
2016,01,11061000,Djibouti,24722.00,363995.34,16756.91
2016,01,09101100,Somalia,10000.00,362451.90,16685.86
2016,01,07069010,Somalia,84196.00,361965.42,16663.46
2016,01,12024200,Djibouti,16317.00,347609.59,16002.58
2016,01,08055000,Djibouti,105573.00,347535.30,15999.16
2016,01,08072000,Djibouti,102165.00,344683.80,15867.89
2016,01,07129090,Congo,460.95,344187.36,15845.03
2016,01,01041000,Somalia,8000.00,341454.40,15719.22
2016,01,05100090,Hong Kong,1.27,338952.47,15604.04
2016,01,62034300,Germany,265.86,338444.15,15580.64
2016,01,04090000,Somalia,13200.00,337486.60,15536.55
2016,01,20089900,Egypt,720.48,330387.22,15209.73
2016,01,06031100,Saudi Arabia,3807.40,329110.54,15150.95
2016,01,06031900,Saudi Arabia,2140.16,328202.38,15109.15
2016,01,08101000,Nigeria,6775.00,326450.91,15028.52
2016,01,07139000,Czech Republic,12500.00,325695.77,14993.75
2016,01,39233010,Somalia,8556.80,323848.64,14908.72
2016,01,06031100,Norway,3908.96,323060.38,14872.43
2016,01,07129090,Madagascar,431.80,322020.46,14824.55
2016,01,04029100,Somalia,186180.00,321524.31,14801.71
2016,01,09041200,United Kingdom,2500.00,310935.40,14314.24
2016,01,07039000,Djibouti,100254.00,310745.00,14305.48
2016,01,07061000,Djibouti,93496.00,306911.54,14129.00
2016,01,09092100,Somalia,28341.00,301925.50,13899.46
2016,01,08101000,Saudi Arabia,4076.00,301356.00,13873.24
2016,01,71031000,Malaysia,7.06,299370.14,13781.82
2016,01,38089990,Djibouti,1200.00,298831.57,13757.03
2016,01,06021000,Spain,645.00,298212.66,13728.54
2016,01,07133300,Lithuania,24000.00,296558.64,13652.39
2016,01,41071100,India,1617.46,293180.51,13496.88
2016,01,96020090,Zimbabwe,521.00,292797.14,13479.23
2016,01,62089900,United States,2921.82,286308.10,13180.50
2016,01,09102000,Jordan,19000.00,283349.85,13044.31
2016,01,07129090,Mali,378.68,282287.23,12995.39
2016,01,06031900,Belgium,2052.16,280716.01,12923.06
2016,01,41071900,India,1575.00,277431.70,12771.86
2016,01,06021000,Kenya,788.00,276464.66,12727.34
2016,01,06021000,Germany,564.00,274645.71,12643.61
2016,01,09103000,India,20000.00,272697.60,12553.92
2016,01,69120010,United States,4440.00,272140.95,12528.30
2016,01,03056900,Sudan,25300.00,269767.55,12419.04
2016,01,09041100,Djibouti,29478.00,266591.14,12272.81
2016,01,03056900,Sudan,25000.00,266296.24,12259.23
2016,01,06031100,Netherlands,2155.24,260390.74,11987.36
2016,01,11062000,United States,2866.00,259537.35,11948.08
2016,01,71031000,Israel,0.45,258870.32,11917.37
2016,01,42022110,Japan,35.00,258193.67,11886.22
2016,01,05100090,France,20.00,251154.73,11562.18
2016,01,06031100,Germany,2924.62,247066.84,11373.99
2016,01,22085000,Somalia,3300.00,246265.61,11337.10
2016,01,07129090,Ireland,2376.00,245781.98,11314.84
2016,01,42031000,Japan,30.00,240132.39,11054.75
2016,01,04090000,Sudan,3180.00,236963.54,10908.87
2016,01,09061900,United States,760.00,234741.07,10806.56
2016,01,22021000,South Sudan,11800.00,233928.31,10769.14
2016,01,08101000,Ireland,5000.00,231431.60,10654.20
2016,01,06031100,Lebanon,2728.00,225292.51,10371.58
2016,01,05069000,South Africa,35.00,217842.42,10028.61
2016,01,07133300,Djibouti,12000.00,217471.14,10011.52
2016,01,41131000,Turkey,533.00,213323.03,9820.55
2016,01,07139000,Sudan,40000.00,212843.00,9798.45
2016,01,25151100,United Arab Emirates,49660.00,211395.66,9731.82
2016,01,12091000,United Kingdom,2500.00,210010.65,9668.06
2016,01,33059000,Canada,4460.00,209788.70,9657.85
2016,01,62149000,Australia,26.00,208838.06,9614.08
2016,01,96020090,Malawi,406.00,203133.71,9351.48
2016,01,06021000,China,1223.00,203099.04,9349.88
2016,01,11061000,United States,2186.00,201556.69,9278.88
2016,01,06031900,Kuwait,2397.12,197457.03,9090.14
2016,01,75089000,United States,719.00,194712.08,8963.78
2016,01,30023000,South Sudan,1228.00,193406.76,8903.69
2016,01,06031900,United Kingdom,2377.76,193137.65,8891.30
2016,01,63052000,Italy,386.50,190140.99,8753.34
2016,01,04090000,Sudan,7222.00,187728.77,8642.29
